input                                                                                                                 ,output
ទៅក្រោយ៨.៤៧ម៉ែត្រធ្វើដំណើរ​ក្នុងរយៈពេល២នាទី.                                                                                   ,"{'action': 'move', 'params': {'distance': 8.47, 'is_forward': false, 'unit': 'meter', 'duration': 4}}"
ហេរ៉ូបូតទៅមុខចំងាយ១៥.៩៤ ម​  ម៉ែត​ ក្នុងរយៈពេល  ៥នាទី.                                                                            ,"{'action': 'move', 'params': {'distance': 15.94, 'is_forward': true, 'unit': 'meter', 'duration': 5}}"
ទៅមុខ៣.២១ម​ ក្នុងរយៈពេល៣នាទី.                                                                                              ,"{'action': 'move', 'params': {'distance': 3.21, 'is_forward': true, 'unit': 'meter', 'duration': 3}}"
ហេរ៉ូបូតទៅមុខចំងាយ៤.១១ ម​  ម៉ែត​ ក្នុងរយៈពេល  ១នាទី.                                                                             ,"{'action': 'move', 'params': {'distance': 4.11, 'is_forward': true, 'unit': 'meter', 'duration': 1}}"
ទៅមុខ៦.០៦ ម៉ែត្រ​ ដោយចំណាយពេល១នាទី.                                                                                         ,"{'action': 'move', 'params': {'distance': 6.06, 'is_forward': true, 'unit': 'meter', 'duration': 1}}"
តោះថយក្រោយចំងាយ១១.៧៥ ម៉ែត្រ​ ដោយចំណាយពេល២នាទី.                                                                               ,"{'action': 'move', 'params': {'distance': 11.75, 'is_forward': false, 'unit': 'meter', 'duration': 2}}"
ថយក្រោយចំងាយ១៩.១ ម៉ែត​ ក្នុងរយៈពេល ៣នាទី.                                                                                    ,"{'action': 'move', 'params': {'distance': 19.1, 'is_forward': false, 'unit': 'meter', 'duration': 3}}"
ហេរ៉ូបូតទៅមុខចំងាយ១៣.៩៨ ម៉ែត្រ​ ក្នុងរយៈពេល ២នាទី.                                                                               ,"{'action': 'move', 'params': {'distance': 13.98, 'is_forward': true, 'unit': 'meter', 'duration': 2}}"
ហេរ៉ូបូតទៅមុខជាមួយខ្ញុំ១៩.០ម៉ែត្រ​ក្នុងរយៈពេល៥នាទី.                                                                                 ,"{'action': 'move', 'params': {'distance': 19.0, 'is_forward': true, 'unit': 'meter', 'duration': 5}}"
ទៅមុខ៤.៦៤ ម៉ែត​ ក្នុងរយៈពេល ៥នាទី.                                                                                          ,"{'action': 'move', 'params': {'distance': 4.64, 'is_forward': true, 'unit': 'meter', 'duration': 5}}"
ហេរ៉ូបូតទៅមុខ១.៣១ម៉ែត​​ដោយប្រើរយៈពេល១នាទី.                                                                                     ,"{'action': 'move', 'params': {'distance': 1.31, 'is_forward': true, 'unit': 'meter', 'duration': 1}}"
រ៉ូបូតទៅមុខ៩.៣២ ម៉ែត្រ​ ដោយ ម៉ែត្រ​ ដោយចំណាយពេល៤នាទី.                                                                             ,"{'action': 'move', 'params': {'distance': 9.32, 'is_forward': true, 'unit': 'meter', 'duration': 4}}"
តោះថយក្រោយចំងាយ១៤.៤៨ ម៉ែត្រ​ ដោយចំណាយពេល៣នាទី.                                                                               ,"{'action': 'move', 'params': {'distance': 14.48, 'is_forward': false, 'unit': 'meter', 'duration': 3}}"
តោះបើកទៅក្រោយចំងាយ៨.៨៣ ម៉ែត​ ក្នុងរយៈពេល ១នាទី.                                                                              ,"{'action': 'move', 'params': {'distance': 8.83, 'is_forward': false, 'unit': 'meter', 'duration': 1}}"
ទៅមុខ១៦.៦៩ ម​  ម៉ែត​ ក្នុងរយៈពេល  ៥នាទី.                                                                                     ,"{'action': 'move', 'params': {'distance': 16.69, 'is_forward': true, 'unit': 'meter', 'duration': 5}}"
តោះថយក្រោយចំងាយ៩.៩៥ ម៉ែត្រ​ ដោយ ម៉ែត្រ​ ដោយចំណាយរយៈពេល១នាទី.                                                                    ,"{'action': 'move', 'params': {'distance': 9.95, 'is_forward': false, 'unit': 'meter', 'duration': 1}}"
ទៅមុខ៥.៩ ម៉ែត្រ​ ដោយចំណាយពេល១នាទី.                                                                                          ,"{'action': 'move', 'params': {'distance': 5.9, 'is_forward': true, 'unit': 'meter', 'duration': 1}}"
ហេរ៉ូបូតដើរទៅមុខចំងាយ១២.២៦ ម៉ែត្រ​ ក្នុងរយៈពេល ៥នាទី.                                                                            ,"{'action': 'move', 'params': {'distance': 12.26, 'is_forward': true, 'unit': 'meter', 'duration': 5}}"
តោះបើកទៅក្រោយចំងាយ១២.៣៥ម៉ែត្រធ្វើដំណើរ​ក្នុងរយៈពេល២នាទី.                                                                        ,"{'action': 'move', 'params': {'distance': 12.35, 'is_forward': false, 'unit': 'meter', 'duration': 4}}"
តោះថយក្រោយចំងាយ៣.៧ ម៉ែត្រ​ ដោយចំណាយពេល១នាទី.                                                                                 ,"{'action': 'move', 'params': {'distance': 3.7, 'is_forward': false, 'unit': 'meter', 'duration': 1}}"
ហេរ៉ូបូតទៅមុខ៧.៩៥ ម៉ែត​ ក្នុងរយៈពេល ៤នាទី.                                                                                     ,"{'action': 'move', 'params': {'distance': 7.95, 'is_forward': true, 'unit': 'meter', 'duration': 4}}"
ហេដើរទៅមុខចំងាយ១៩.៧៦ម៉ែត្រ​ក្នុងរយៈពេល៥នាទី.                                                                                  ,"{'action': 'move', 'params': {'distance': 19.76, 'is_forward': true, 'unit': 'meter', 'duration': 5}}"
រ៉ូបូតទៅមុខ១៨.៦៧ ម​  ម៉ែត​ ក្នុងរយៈពេល  ២នាទី.                                                                                  ,"{'action': 'move', 'params': {'distance': 18.67, 'is_forward': true, 'unit': 'meter', 'duration': 2}}"
តោះដើរទៅក្រោយចំងាយ៦.៥៨ ម៉ែត្រ​ ក្នុងរយៈពេល ១នាទី.                                                                             ,"{'action': 'move', 'params': {'distance': 6.58, 'is_forward': false, 'unit': 'meter', 'duration': 1}}"
ហេរ៉ូបូតទៅមុខចំងាយ១៩.៥២ ម៉ែត្រ​ ដោយចំណាយពេល៣នាទី.                                                                               ,"{'action': 'move', 'params': {'distance': 19.52, 'is_forward': true, 'unit': 'meter', 'duration': 3}}"
ទៅមុខ១៧.០ម៉ែត្រផ្លាស់ទី​ក្នុងរយៈពេល២នាទី.                                                                                       ,"{'action': 'move', 'params': {'distance': 17.0, 'is_forward': true, 'unit': 'meter', 'duration': 2}}"
ហេរ៉ូបូតទៅមុខ១២.៤១ ម៉ែត​ ក្នុងរយៈពេល ២នាទី.                                                                                    ,"{'action': 'move', 'params': {'distance': 12.41, 'is_forward': true, 'unit': 'meter', 'duration': 2}}"
ទៅមុខ១០.៥៧ ម៉ែត្រ​ ដោយចំណាយពេល២នាទី.                                                                                        ,"{'action': 'move', 'params': {'distance': 10.57, 'is_forward': true, 'unit': 'meter', 'duration': 2}}"
ទៅមុខ៣.២៦ម៉ែត្រផ្លាស់ទី​ក្នុងរយៈពេល២នាទី.                                                                                       ,"{'action': 'move', 'params': {'distance': 3.26, 'is_forward': true, 'unit': 'meter', 'duration': 2}}"
តោះទៅមុខ១៩.១៤ ម៉ែត្រ​ ក្នុងរយៈពេល ៤នាទី.                                                                                     ,"{'action': 'move', 'params': {'distance': 19.14, 'is_forward': true, 'unit': 'meter', 'duration': 4}}"
ហេរ៉ូបូតទៅមុខជាមួយខ្ញុំ១.៥៨ម៉ែត្រ​ក្នុងរយៈពេល៥នាទី.                                                                                 ,"{'action': 'move', 'params': {'distance': 1.58, 'is_forward': true, 'unit': 'meter', 'duration': 5}}"
ហេរ៉ូបូតទៅមុខចំងាយ១១.៩៩ ម៉ែត្រ​ ដោយចំណាយពេល៣នាទី.                                                                               ,"{'action': 'move', 'params': {'distance': 11.99, 'is_forward': true, 'unit': 'meter', 'duration': 3}}"
ទៅមុខ១៦.៥២ម៉ែត្រធ្វើដំណើរ​ក្នុងរយៈពេល២នាទី.                                                                                    ,"{'action': 'move', 'params': {'distance': 16.52, 'is_forward': true, 'unit': 'meter', 'duration': 4}}"
តោះបើកទៅក្រោយចំងាយ៤.៩៩ ម​  ម៉ែត​ ក្នុងរយៈពេល  ៣នាទី.                                                                          ,"{'action': 'move', 'params': {'distance': 4.99, 'is_forward': false, 'unit': 'meter', 'duration': 3}}"
ហេរ៉ូបូតទៅមុខចំងាយ៦.១៨ ម៉ែត្រ​ ដោយ ម៉ែត្រ​ ដោយចំណាយពេល៤នាទី.                                                                       ,"{'action': 'move', 'params': {'distance': 6.18, 'is_forward': true, 'unit': 'meter', 'duration': 4}}"
ហេដើរទៅមុខចំងាយ១៣.៤៣ម៉ែត្រធ្វើដំណើរ​ក្នុងរយៈពេល២នាទី.                                                                           ,"{'action': 'move', 'params': {'distance': 13.43, 'is_forward': true, 'unit': 'meter', 'duration': 4}}"
ទៅមុខ១៤.១៤ ម​  ម៉ែត​ ក្នុងរយៈពេល  ៣នាទី.                                                                                     ,"{'action': 'move', 'params': {'distance': 14.14, 'is_forward': true, 'unit': 'meter', 'duration': 3}}"
រ៉ូបូតទៅមុខ៤.៥៣ ម​  ម៉ែត​ ក្នុងរយៈពេល  ១នាទី.                                                                                   ,"{'action': 'move', 'params': {'distance': 4.53, 'is_forward': true, 'unit': 'meter', 'duration': 1}}"
រ៉ូបូតទៅមុខ១៧.២៦ ម៉ែត​ ក្នុងរយៈពេល ២នាទី.                                                                                      ,"{'action': 'move', 'params': {'distance': 17.26, 'is_forward': true, 'unit': 'meter', 'duration': 2}}"
ថយក្រោយចំងាយ១៨.៩៥ ម៉ែត​ ក្នុងរយៈពេល ៥នាទី.                                                                                   ,"{'action': 'move', 'params': {'distance': 18.95, 'is_forward': false, 'unit': 'meter', 'duration': 5}}"
តោះថយក្រោយចំងាយ១៣.០៧ ម៉ែត្រ​ ក្នុងរយៈពេល ៤នាទី.                                                                               ,"{'action': 'move', 'params': {'distance': 13.07, 'is_forward': false, 'unit': 'meter', 'duration': 4}}"
តោះបើកទៅក្រោយចំងាយ១២.៦២ម៉ែត្រធ្វើដំណើរ​ក្នុងរយៈពេល២នាទី.                                                                        ,"{'action': 'move', 'params': {'distance': 12.62, 'is_forward': false, 'unit': 'meter', 'duration': 4}}"
ទៅក្រោយ៨.០៣ម៉ែត្រធ្វើដំណើរ​ក្នុងរយៈពេល២នាទី.                                                                                   ,"{'action': 'move', 'params': {'distance': 8.03, 'is_forward': false, 'unit': 'meter', 'duration': 4}}"
ទៅក្រោយ១០.០៩ម​ ក្នុងរយៈពេល៣នាទី.                                                                                           ,"{'action': 'move', 'params': {'distance': 10.09, 'is_forward': false, 'unit': 'meter', 'duration': 3}}"
តោះថយក្រោយចំងាយ១.៤៦ ម៉ែត្រ​ ដោយចំណាយពេល៥នាទី.                                                                                ,"{'action': 'move', 'params': {'distance': 1.46, 'is_forward': false, 'unit': 'meter', 'duration': 5}}"
ថយក្រោយចំងាយ៥.០៥ ម៉ែត​ ក្នុងរយៈពេល ២នាទី.                                                                                    ,"{'action': 'move', 'params': {'distance': 5.05, 'is_forward': false, 'unit': 'meter', 'duration': 2}}"
ទៅក្រោយ១៤.០៥ម៉ែត្រធ្វើដំណើរ​ក្នុងរយៈពេល២នាទី.                                                                                  ,"{'action': 'move', 'params': {'distance': 14.05, 'is_forward': false, 'unit': 'meter', 'duration': 4}}"
ទៅក្រោយ៤.០៤ម៉ែត្រធ្វើដំណើរ​ក្នុងរយៈពេល២នាទី.                                                                                   ,"{'action': 'move', 'params': {'distance': 4.04, 'is_forward': false, 'unit': 'meter', 'duration': 4}}"
រ៉ូបូតទៅមុខ៩.៨៤ ម​  ម៉ែត​ ក្នុងរយៈពេល  ៤នាទី.                                                                                   ,"{'action': 'move', 'params': {'distance': 9.84, 'is_forward': true, 'unit': 'meter', 'duration': 4}}"
បន្តទៅមុខ ១.៩៦ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 1.96, 'is_forward': true, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ១៥.៩៨ ម៉                                                                                                       ,"{'action': 'move', 'params': {'distance': 15.98, 'is_forward': true, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១១.០៤ ម៉ែត្រ                                                                                                   ,"{'action': 'move', 'params': {'distance': 11.04, 'is_forward': false, 'unit': 'meter'}}"
បន្តទៅមុខ ១៩.៨៩ ម៉                                                                                                       ,"{'action': 'move', 'params': {'distance': 19.89, 'is_forward': true, 'unit': 'meter'}}"
ទៅមុខ ១៤.១៧ ម៉ែត្រ                                                                                                       ,"{'action': 'move', 'params': {'distance': 14.17, 'is_forward': true, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៧.២៥ ម៉ែត                                                                                                     ,"{'action': 'move', 'params': {'distance': 7.25, 'is_forward': false, 'unit': 'meter'}}"
ទៅមុខ ១៩.៨៦ ម                                                                                                          ,"{'action': 'move', 'params': {'distance': 19.86, 'is_forward': true, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៤.៩៩ ម៉                                                                                                      ,"{'action': 'move', 'params': {'distance': 14.99, 'is_forward': false, 'unit': 'meter'}}"
បន្តទៅមុខ ៨.៩២ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 8.92, 'is_forward': true, 'unit': 'meter'}}"
បន្តទៅមុខ ៨.២៣ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 8.23, 'is_forward': true, 'unit': 'meter'}}"
យើងទៅមុខ ១៤.២១ ម៉ែត្រ                                                                                                    ,"{'action': 'move', 'params': {'distance': 14.21, 'is_forward': true, 'unit': 'meter'}}"
បន្តទៅមុខ ១៩.៩១ ម៉ែត្រ                                                                                                    ,"{'action': 'move', 'params': {'distance': 19.91, 'is_forward': true, 'unit': 'meter'}}"
ទៅមុខ ៧.០៩ ម                                                                                                           ,"{'action': 'move', 'params': {'distance': 7.09, 'is_forward': true, 'unit': 'meter'}}"
ទៅមុខ ១៥.៥៦ ម៉ែត្រ                                                                                                       ,"{'action': 'move', 'params': {'distance': 15.56, 'is_forward': true, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ១៥.៨២ ម៉ែត្រ                                                                                                    ,"{'action': 'move', 'params': {'distance': 15.82, 'is_forward': true, 'unit': 'meter'}}"
យើងទៅមុខ ១២.៩ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 12.9, 'is_forward': true, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៥.៦៦ ម៉ែត                                                                                                    ,"{'action': 'move', 'params': {'distance': 15.66, 'is_forward': false, 'unit': 'meter'}}"
បកក្រោយ ៩.៤ ម៉ែត                                                                                                        ,"{'action': 'move', 'params': {'distance': 9.4, 'is_forward': false, 'unit': 'meter'}}"
បកក្រោយ ១១.៥៨ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 11.58, 'is_forward': false, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៣.៤១ ម៉ែត                                                                                                     ,"{'action': 'move', 'params': {'distance': 3.41, 'is_forward': false, 'unit': 'meter'}}"
ទៅក្រោយ ៦.០១ ម៉ែត                                                                                                       ,"{'action': 'move', 'params': {'distance': 6.01, 'is_forward': false, 'unit': 'meter'}}"
ទៅមុខ ៧.១២ ម៉ែត                                                                                                         ,"{'action': 'move', 'params': {'distance': 7.12, 'is_forward': true, 'unit': 'meter'}}"
បន្តទៅមុខ ៤.៦៩ ម៉ែត                                                                                                      ,"{'action': 'move', 'params': {'distance': 4.69, 'is_forward': true, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៧.០ ម៉ែត                                                                                                       ,"{'action': 'move', 'params': {'distance': 7.0, 'is_forward': true, 'unit': 'meter'}}"
ទៅក្រោយ ១.៥២ ម                                                                                                         ,"{'action': 'move', 'params': {'distance': 1.52, 'is_forward': false, 'unit': 'meter'}}"
បន្តទៅមុខ ១២.៥៣ ម៉                                                                                                       ,"{'action': 'move', 'params': {'distance': 12.53, 'is_forward': true, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៩.៤៦ ម                                                                                                        ,"{'action': 'move', 'params': {'distance': 9.46, 'is_forward': true, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៤.២៥ ម៉                                                                                                      ,"{'action': 'move', 'params': {'distance': 14.25, 'is_forward': false, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៣.៧១ ម                                                                                                      ,"{'action': 'move', 'params': {'distance': 13.71, 'is_forward': false, 'unit': 'meter'}}"
យើងទៅមុខ ១៧.១៤ ម៉ែត្រ                                                                                                    ,"{'action': 'move', 'params': {'distance': 17.14, 'is_forward': true, 'unit': 'meter'}}"
បកក្រោយ ៩.០៦ ម៉ែត្រ                                                                                                      ,"{'action': 'move', 'params': {'distance': 9.06, 'is_forward': false, 'unit': 'meter'}}"
បន្តទៅមុខ ១៧.៦៨ ម៉ែត្រ                                                                                                    ,"{'action': 'move', 'params': {'distance': 17.68, 'is_forward': true, 'unit': 'meter'}}"
ទៅក្រោយ ១៦.៥៣ ម                                                                                                        ,"{'action': 'move', 'params': {'distance': 16.53, 'is_forward': false, 'unit': 'meter'}}"
បកក្រោយ ១៣.៥៥ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 13.55, 'is_forward': false, 'unit': 'meter'}}"
បន្តទៅមុខ ១២.៦១ ម                                                                                                       ,"{'action': 'move', 'params': {'distance': 12.61, 'is_forward': true, 'unit': 'meter'}}"
យើងទៅមុខ ៣.៨៨ ម៉                                                                                                        ,"{'action': 'move', 'params': {'distance': 3.88, 'is_forward': true, 'unit': 'meter'}}"
ទៅក្រោយ ១៥.៦៣ ម៉ែត                                                                                                      ,"{'action': 'move', 'params': {'distance': 15.63, 'is_forward': false, 'unit': 'meter'}}"
ទៅក្រោយ ១៥.៩២ ម៉ែត                                                                                                      ,"{'action': 'move', 'params': {'distance': 15.92, 'is_forward': false, 'unit': 'meter'}}"
បកក្រោយ ៦.០៦ ម៉                                                                                                         ,"{'action': 'move', 'params': {'distance': 6.06, 'is_forward': false, 'unit': 'meter'}}"
បកក្រោយ ៥.៤៤ ម                                                                                                         ,"{'action': 'move', 'params': {'distance': 5.44, 'is_forward': false, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ២.០២ ម៉ែត្រ                                                                                                    ,"{'action': 'move', 'params': {'distance': 2.02, 'is_forward': false, 'unit': 'meter'}}"
ទៅក្រោយ ៦.២៧ ម៉ែត                                                                                                       ,"{'action': 'move', 'params': {'distance': 6.27, 'is_forward': false, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៨.៣ ម                                                                                                       ,"{'action': 'move', 'params': {'distance': 18.3, 'is_forward': false, 'unit': 'meter'}}"
បន្តទៅមុខ ១.៧៨ ម៉ែត                                                                                                      ,"{'action': 'move', 'params': {'distance': 1.78, 'is_forward': true, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៦.៧៦ ម                                                                                                        ,"{'action': 'move', 'params': {'distance': 6.76, 'is_forward': true, 'unit': 'meter'}}"
បន្តទៅមុខ ១.៦៤ ម៉ែត                                                                                                      ,"{'action': 'move', 'params': {'distance': 1.64, 'is_forward': true, 'unit': 'meter'}}"
យើងទៅមុខ ៦.០៤ ម                                                                                                        ,"{'action': 'move', 'params': {'distance': 6.04, 'is_forward': true, 'unit': 'meter'}}"
បកក្រោយ ១៩.៤៥ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 19.45, 'is_forward': false, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៣.៩៥ ម៉                                                                                                        ,"{'action': 'move', 'params': {'distance': 3.95, 'is_forward': true, 'unit': 'meter'}}"
យើងទៅមុខ ១៩.៣៩ ម៉ែត                                                                                                     ,"{'action': 'move', 'params': {'distance': 19.39, 'is_forward': true, 'unit': 'meter'}}"
បកក្រោយ ១៨.៧ ម៉ែត                                                                                                       ,"{'action': 'move', 'params': {'distance': 18.7, 'is_forward': false, 'unit': 'meter'}}"
ទៅមុខ ៩.៣៦ ម៉ែត្រ                                                                                                        ,"{'action': 'move', 'params': {'distance': 9.36, 'is_forward': true, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៦.៧៨ ម៉ែត្រ                                                                                                    ,"{'action': 'move', 'params': {'distance': 6.78, 'is_forward': false, 'unit': 'meter'}}"
បន្តទៅមុខ ១៧.៩៤ ម៉ែត្រ                                                                                                    ,"{'action': 'move', 'params': {'distance': 17.94, 'is_forward': true, 'unit': 'meter'}}"
បកក្រោយ ១៦.៦៨ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 16.68, 'is_forward': false, 'unit': 'meter'}}"
បកក្រោយ ៣.៥៤ ម៉ែត                                                                                                       ,"{'action': 'move', 'params': {'distance': 3.54, 'is_forward': false, 'unit': 'meter'}}"
បកក្រោយ ៩.៨៨ ម៉ែត្រ                                                                                                      ,"{'action': 'move', 'params': {'distance': 9.88, 'is_forward': false, 'unit': 'meter'}}"
បន្តទៅមុខ ៦.៤៦ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 6.46, 'is_forward': true, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៧.២១ ម៉ែត                                                                                                      ,"{'action': 'move', 'params': {'distance': 7.21, 'is_forward': true, 'unit': 'meter'}}"
ទៅមុខ ១១.៩៣ ម៉ែត្រ                                                                                                       ,"{'action': 'move', 'params': {'distance': 11.93, 'is_forward': true, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៤.៩៧ ម៉ែត                                                                                                     ,"{'action': 'move', 'params': {'distance': 4.97, 'is_forward': false, 'unit': 'meter'}}"
បកក្រោយ ៧.៦៤ ម៉                                                                                                         ,"{'action': 'move', 'params': {'distance': 7.64, 'is_forward': false, 'unit': 'meter'}}"
បន្តទៅមុខ ១៨.៧៧ ម៉ែត្រ                                                                                                    ,"{'action': 'move', 'params': {'distance': 18.77, 'is_forward': true, 'unit': 'meter'}}"
ទៅក្រោយ ៦.៤៩ ម៉                                                                                                         ,"{'action': 'move', 'params': {'distance': 6.49, 'is_forward': false, 'unit': 'meter'}}"
បន្តទៅមុខ ៤.៧ ម                                                                                                         ,"{'action': 'move', 'params': {'distance': 4.7, 'is_forward': true, 'unit': 'meter'}}"
ទៅក្រោយ ១០.៥៣ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 10.53, 'is_forward': false, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១២.៨ ម                                                                                                       ,"{'action': 'move', 'params': {'distance': 12.8, 'is_forward': false, 'unit': 'meter'}}"
យើងទៅមុខ ១.២ ម៉ែត                                                                                                       ,"{'action': 'move', 'params': {'distance': 1.2, 'is_forward': true, 'unit': 'meter'}}"
ទៅមុខ ៣.១៦ ម៉                                                                                                           ,"{'action': 'move', 'params': {'distance': 3.16, 'is_forward': true, 'unit': 'meter'}}"
ទៅមុខ ១១.២៦ ម៉ែត្រ                                                                                                       ,"{'action': 'move', 'params': {'distance': 11.26, 'is_forward': true, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ១០.៦៨ ម៉ែត                                                                                                     ,"{'action': 'move', 'params': {'distance': 10.68, 'is_forward': true, 'unit': 'meter'}}"
បកក្រោយ ១៨.០៩ ម៉                                                                                                        ,"{'action': 'move', 'params': {'distance': 18.09, 'is_forward': false, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៥.៤៨ ម៉                                                                                                       ,"{'action': 'move', 'params': {'distance': 5.48, 'is_forward': false, 'unit': 'meter'}}"
ទៅក្រោយ ៤.២ ម៉                                                                                                          ,"{'action': 'move', 'params': {'distance': 4.2, 'is_forward': false, 'unit': 'meter'}}"
ទៅក្រោយ ១៨.២៦ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 18.26, 'is_forward': false, 'unit': 'meter'}}"
បកក្រោយ ១៩.២៩ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 19.29, 'is_forward': false, 'unit': 'meter'}}"
ទៅមុខ ១១.៧៨ ម៉ែត្រ                                                                                                       ,"{'action': 'move', 'params': {'distance': 11.78, 'is_forward': true, 'unit': 'meter'}}"
បកក្រោយ ១៦.៨១ ម៉ែត                                                                                                      ,"{'action': 'move', 'params': {'distance': 16.81, 'is_forward': false, 'unit': 'meter'}}"
ទៅមុខ ១៣.៦១ ម៉ែត                                                                                                        ,"{'action': 'move', 'params': {'distance': 13.61, 'is_forward': true, 'unit': 'meter'}}"
យើងទៅមុខ ១៤.៩៣ ម៉ែត                                                                                                     ,"{'action': 'move', 'params': {'distance': 14.93, 'is_forward': true, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៦.៦៣ ម៉ែត                                                                                                     ,"{'action': 'move', 'params': {'distance': 6.63, 'is_forward': false, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១០.៩៩ ម                                                                                                      ,"{'action': 'move', 'params': {'distance': 10.99, 'is_forward': false, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៨.៥៩ ម៉ែត្រ                                                                                                    ,"{'action': 'move', 'params': {'distance': 8.59, 'is_forward': false, 'unit': 'meter'}}"
ទៅក្រោយ ២.៧៨ ម                                                                                                         ,"{'action': 'move', 'params': {'distance': 2.78, 'is_forward': false, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១០.៦៥ ម៉ែត                                                                                                    ,"{'action': 'move', 'params': {'distance': 10.65, 'is_forward': false, 'unit': 'meter'}}"
យើងទៅមុខ ១២.០៧ ម៉ែត្រ                                                                                                    ,"{'action': 'move', 'params': {'distance': 12.07, 'is_forward': true, 'unit': 'meter'}}"
ទៅមុខ ១៤.០៧ ម៉ែត្រ                                                                                                       ,"{'action': 'move', 'params': {'distance': 14.07, 'is_forward': true, 'unit': 'meter'}}"
បកក្រោយ ១៨.៩៤ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 18.94, 'is_forward': false, 'unit': 'meter'}}"
ទៅក្រោយ ៨.៦៩ ម៉ែត                                                                                                       ,"{'action': 'move', 'params': {'distance': 8.69, 'is_forward': false, 'unit': 'meter'}}"
ទៅក្រោយ ៦.២៣ ម៉ែត                                                                                                       ,"{'action': 'move', 'params': {'distance': 6.23, 'is_forward': false, 'unit': 'meter'}}"
បកក្រោយ ៧.១ ម៉ែត                                                                                                        ,"{'action': 'move', 'params': {'distance': 7.1, 'is_forward': false, 'unit': 'meter'}}"
បកក្រោយ ១៤.៣៥ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 14.35, 'is_forward': false, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៨.២២ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 8.22, 'is_forward': true, 'unit': 'meter'}}"
ទៅមុខ ១៤.៧១ ម៉ែត្រ                                                                                                       ,"{'action': 'move', 'params': {'distance': 14.71, 'is_forward': true, 'unit': 'meter'}}"
ទៅមុខ ១៧.២១ ម៉ែត្រ                                                                                                       ,"{'action': 'move', 'params': {'distance': 17.21, 'is_forward': true, 'unit': 'meter'}}"
បកក្រោយ ១.២ ម៉ែត                                                                                                        ,"{'action': 'move', 'params': {'distance': 1.2, 'is_forward': false, 'unit': 'meter'}}"
បកក្រោយ ១៨.៦៧ ម៉ែត្រ                                                                                                     ,"{'action': 'move', 'params': {'distance': 18.67, 'is_forward': false, 'unit': 'meter'}}"
យើងទៅមុខ ២.៣៧ ម៉                                                                                                        ,"{'action': 'move', 'params': {'distance': 2.37, 'is_forward': true, 'unit': 'meter'}}"
យើងទៅមុខ ៧.៨៣ ម៉                                                                                                        ,"{'action': 'move', 'params': {'distance': 7.83, 'is_forward': true, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៨.៧៨ ម៉ែត្រ                                                                                                   ,"{'action': 'move', 'params': {'distance': 18.78, 'is_forward': false, 'unit': 'meter'}}"
